=== In this article ===
Device | System Model | System SKU
Surface 3 Wi-Fi | Surface 3 | Surface_3
Surface 3 LTE AT&T | Surface 3 | Surface_3_US1
Surface 3 LTE Verizon | Surface 3 | Surface_3_US2
Surface 3 LTE North America | Surface 3 | Surface_3_NAG
Surface 3 LTE outside of North America and Y!mobile in Japan | Surface 3 | Surface_3_ROW
Surface Book 2 13-inch | Surface Book 2 | Surface_Book_1832
Surface Book 2 15-inch | Surface Book 2 | Surface_Book_1793
Surface Book 3 13-inch | Surface Book 3 | Surface_Book_3_1900
Surface Book 3 15-inch | Surface Book 3 | Surface_Book_3_1899
Surface Go, Consumer | Surface Go | Surface_Go_1824_Consumer
Surface Go, Commercial | Surface Go | Surface_Go_1824_Commercial
Surface Go LTE, Commercial | Surface Go | Surface_Go_1825_Commercial
Surface Go 2, Consumer | Surface Go 2 | Surface_Go_2_1901
Surface Go 2, Commercial | Surface Go 2 | Surface_Go_2_1926
Surface Go 2 LTE | Surface Go 2 | Surface_Go_2_1927
Surface Go 3, Consumer | Surface Go 3 | Surface_Go_3_1901
Surface Go 3, Commercial | Surface Go 3 | Surface_Go_3_1926
Surface Go 3 LTE | Surface Go 3 | Surface_Go_3_2022
Surface Go 4 | Surface Go 4 | Surface_Go_4_2067
Surface Hub 2S 50-inch | Surface Hub 2S | Surface Hub 2S
Surface Hub 2S 85-inch | Surface Hub 2S | Surface Hub 2S 85
Surface Hub 3 50-inch | Surface Hub 3 | Surface Hub 3 50
Surface Hub 3 85-inch | Surface Hub 3 | Surface Hub 3 85
Surface Laptop | Surface Laptop | Surface_Laptop
Surface Laptop 2, Consumer | Surface Laptop 2 | Surface_Laptop_2_1769_Consumer
Surface Laptop 2, Commercial | Surface Laptop 2 | Surface_Laptop_2_1769_Commercial
Surface Laptop 3 13.5-inch with Intel | Surface Laptop 3 | Surface_Laptop_3_1867:1868
Surface Laptop 3 15-inch with Intel | Surface Laptop 3 | Surface_Laptop_3_1872
Surface Laptop 3 15-inch with AMD | Surface Laptop 3 | Surface_Laptop_3_1873
Surface Laptop 4 13.5-inch with AMD | Surface Laptop 4 | Surface_Laptop_4_1958:1959
Surface Laptop 4 13.5-inch with Intel | Surface Laptop 4 | Surface_Laptop_4_1950:1951
Surface Laptop 4 15-inch with AMD | Surface Laptop 4 | Surface_Laptop_4_1952:1953
Surface Laptop 4 15-inch with Intel | Surface Laptop 4 | Surface_Laptop_4_1978:1979
Surface Laptop 5 13.5-inch, Consumer | Surface Laptop 5 | Surface_Laptop_5_1950:1951
Surface Laptop 5 13.5-inch, Commercial | Surface Laptop 5 | Surface_Laptop_5_for_Business_1950:1951
